5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Lane 4 Truck Prop (%)	Lane 5 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/03/2015 22:55	0	0	22.7	46.7	0	10.3	5	80
09/03/2015 23:00	0	0	23.1	48.1	0	14.7	5	80
09/03/2015 23:05	0	0	30	48.1	0	15.9	5	80
09/03/2015 23:10	0	0	29.7	50	0	14	5	80
09/03/2015 23:15	0	0	26.5	50	0	17.2	5	80
09/03/2015 23:20	0	0	13.9	22.4	0	10.4	5	80
09/03/2015 23:25	0	0	22.9	36.4	0	18	5	80
09/03/2015 23:30	0	0	28.9	31.9	0	18.9	5	80
09/03/2015 23:35	0	0	25.5	30	0	17.7	5	80
09/03/2015 23:40	0	0	17.5	18.2	0	11.2	5	80
09/03/2015 23:45	0	0	39.4	37.8	0	25.3	5	80
09/03/2015 23:50	0	0	36.4	23.1	0	17.5	5	80
09/03/2015 23:55	0	0	16.2	15.3	0	9.4	5	80
